STATE,DISTRICT,YEAR,CROP,AREA,PRODUCTION,YIELD,SEASON,ph,organic matter(%),Available Nitrogen(Kg./Ha.),Available Phosphorus(Kg./Ha.),Available Potash(Kg./Ha.),TOTAL RAINFALL PER YEAR(mm)
BIHAR,Araria,2005,URAD,,634,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,SUNFLOWER,3812,5451,1.43,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MOONG,8162,4714,0.58,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RICE,20016,19467,0.97,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MAIZE,9808,37820,3.86,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,DRY GINGER,,109,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,DRY CHILLIES,,204,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,URAD,,150,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RICE,27718,30645,1.11,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MESTA,2609,19140,7.34,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,PEAS & BEANS (PULSES),,1143,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,SUNFLOWER,3033,4417,1.46,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,WHEAT,50729,32091,0.63,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,DRY CHILLIES,,202,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,JUTE,39258,418316,10.66,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,CORIANDER,,100,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,ARHAR (TUR),258,279,1.08,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RICE,127189,60609,0.48,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,ONION,,4032,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,TURMERIC,,343,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,RICE,9936,13613,1.37,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,SANNHAMP,849,734,0.86,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MAIZE,9283,16970,1.83,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,TURMERIC,,287,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RICE,15555,23189,1.49,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,ONION,,8510,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RAPESEED &MUSTARD,2775,2148,0.77,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SESAMUM,23,17,0.74,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,ARHAR (TUR),419,482,1.15,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,PEAS & BEANS (PULSES),,1307,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MAIZE,7117,21252,2.99,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,SWEET POTATO,665,10416,15.66,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SANNHAMP,918,4194,4.57,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MASOOR,,1326,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SWEET POTATO,416,6119,14.71,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,POTATO,7342,75585,10.29,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,DRY GINGER,,67,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,DRY GINGER,,119,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SWEET POTATO,716,10190,14.23,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RICE,95366,88707,0.93,WINTER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MOONG,1029,595,0.58,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RAPESEED &MUSTARD,2817,2220,0.79,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SANNHAMP,10,5,0.5,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,LINSEED,1957,1693,0.87,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,GRAM,740,696,0.94,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RICE,13735,22993,1.67,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,LINSEED,1414,1210,0.86,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MOONG,8813,4627,0.53,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,LINSEED,2267,1428,0.63,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,TURMERIC,,141,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,GARLIC,,459,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,JOWAR,,24,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RICE,97100,112440,1.16,WINTER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MASOOR,,2124,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SESAMUM,4,2,0.5,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SUGARCANE,,3146,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RAGI,792,611,0.77,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,PEAS & BEANS (PULSES),,2744,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,WHEAT,46331,77310,1.67,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MAIZE,8099,38893,4.8,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,KESARI,,2909,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MESTA,2441,19447,7.97,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,POTATO,4187,33232,7.94,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,RAGI,1209,744,0.62,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RICE,132213,159432,1.21,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,POTATO,7467,77822,10.42,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,GARLIC,,601,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,SESAMUM,27,21,0.78,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,BARLEY,28,29,1.04,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RICE,13933,15994,1.15,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MAIZE,17565,63046,3.59,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,JUTE,36430,381530,10.47,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SUNFLOWER,2316,1297,0.56,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RAGI,824,529,0.64,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,CORIANDER,,151,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MAIZE,26062,103915,3.99,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RICE,25554,34078,1.33,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,JUTE,33713,332260,9.86,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,BARLEY,52,60,1.15,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,WHEAT,57551,40153,0.7,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MAIZE,7321,24450,3.34,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SMALL MILLETS,,46,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,DRY CHILLIES,,183,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2000,OTHER RABI PULSES,,72,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,POTATO,4629,13702,2.96,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,RAPESEED &MUSTARD,3794,2337,0.62,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,MAIZE,6905,9059,1.31,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,BARLEY,27,30,1.11,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,RICE,103036,103912,1.01,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,GRAM,524,498,0.95,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MOONG,6076,3226,0.53,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,GARLIC,,575,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,ARHAR (TUR),325,401,1.23,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MOONG,6396,3326,0.52,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MAIZE,8602,21676,2.52,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,RICE,21378,23999,1.12,AUTUMN,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,GRAM,1052,1129,1.07,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,URAD,,677,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,JUTE,35091,188322,5.37,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MESTA,3042,22190,7.29,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,GROUNDNUT,,57,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MESTA,3392,42720,12.59,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MAIZE,8439,30053,3.56,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MOONG,7716,4074,0.53,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,MAIZE,3205,7936,2.48,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,GARLIC,,282,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RAGI,824,491,0.6,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,ARHAR (TUR),546,822,1.51,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,WHEAT,50635,91612,1.81,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,WHEAT,57959,64655,1.12,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,MAIZE,864,2477,2.87,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,SWEET POTATO,300,4071,13.57,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,MAIZE,5759,7097,1.23,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,URAD,,200,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2004,MAIZE,7001,19755,2.82,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MOONG,7105,3821,0.54,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MAIZE,9583,45404,4.74,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,DRY CHILLIES,,184,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1999,POTATO,6790,50606,7.45,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,MAIZE,9583,44456,4.64,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RAPESEED &MUSTARD,2903,1994,0.69,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,OTHER KHARIF PULSES,41,24,0.59,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MOONG,2198,1350,0.61,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,TURMERIC,,259,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,ONION,,8533,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RICE,91513,18339,0.2,WINTER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,RICE,15660,22803,1.46,SUMMER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,GROUNDNUT,,114,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,MESTA,3019,18835,6.24,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,POTATO,3454,37614,10.89,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,RICE,138639,142541,1.03,TOTAL,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1999,MOONG,7390,4072,0.55,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2007,CORIANDER,,139,,WHOLE YEAR,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,SMALL MILLETS,,292,,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2008,MOONG,1985,1261,0.64,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2006,PEAS & BEANS (PULSES),,971,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2001,OTHER KHARIF PULSES,50,28,0.56,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,RICE,82557,43894,0.53,WINTER,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,2005,MAIZE,8066,22393,2.78,KHARIF,7.15,0.6,225,22.5,200,1450
BIHAR,Araria,1998,OTHER RABI PULSES,,5334,,RABI,7.15,0.6,225,22.5,200,1450
BIHAR,Arhasia,1999,ARHAR (TUR),973,1225,1.26,KHARIF,,,,,,
BIHAR,Arhasia,1999,BANANA,132,936,7.09,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,CORIANDER,434,226,0.52,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,DRY GINGER,315,459,1.46,KHARIF,,,,,,
BIHAR,Arhasia,1999,GARLIC,184,261,1.42,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,GRAM,933,711,0.76,RABI,,,,,,
BIHAR,Arhasia,1999,GROUNDNUT,,94,,KHARIF,,,,,,
BIHAR,Arhasia,1999,HORSEGRAM,2427,2398,0.99,KHARIF,,,,,,
BIHAR,Arhasia,1999,JOWAR,96,116,1.21,KHARIF,,,,,,
BIHAR,Arhasia,1999,JUTE,32986,240798,7.3,KHARIF,,,,,,
BIHAR,Arhasia,1999,KESARI,5693,4924,0.86,RABI,,,,,,
BIHAR,Arhasia,1999,LINSEED,3221,1991,0.62,RABI,,,,,,
BIHAR,Arhasia,1999,MAIZE,19701,32190,1.63,TOTAL,,,,,,
BIHAR,Arhasia,1999,MAIZE,6572,12074,1.84,KHARIF,,,,,,
BIHAR,Arhasia,1999,MAIZE,4857,10302,2.12,RABI,,,,,,
BIHAR,Arhasia,1999,MAIZE,8272,9814,1.19,SUMMER,,,,,,
BIHAR,Arhasia,1999,MASOOR,2806,1855,0.66,RABI,,,,,,
BIHAR,Arhasia,1999,MESTA,2654,20347,7.67,KHARIF,,,,,,
BIHAR,Arhasia,1999,MOONG,1822,905,0.5,KHARIF,,,,,,
BIHAR,Arhasia,1999,ONION,1688,12626,7.48,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,POTATO,4201,30541,7.27,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,RAGI,1272,876,0.69,KHARIF,,,,,,
BIHAR,Arhasia,1999,RAPESEED &MUSTARD,3607,1949,0.54,RABI,,,,,,
BIHAR,Arhasia,1999,RICE,24619,23238,0.94,KHARIF,,,,,,
BIHAR,Arhasia,1999,RICE,38395,47965,1.25,TOTAL,,,,,,
BIHAR,Arhasia,1999,SESAMUM,67,25,0.37,KHARIF,,,,,,
BIHAR,Arhasia,1999,SUGARCANE,72,1820,25.28,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,SWEET POTATO,703,9585,13.63,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,TURMERIC,98,193,1.97,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,URAD,1251,923,0.74,KHARIF,,,,,,
BIHAR,Arhasia,1999,WHEAT,50636,117438,2.32,RABI,,,,,,
BIHAR,Arhasia,1999,BAJRA,,187,,KHARIF,,,,,,
BIHAR,Arhasia,1999,DRY CHILLIES,688,654,0.95,WHOLE YEAR,,,,,,
BIHAR,Arhasia,1999,PEAS & BEANS (PULSES),1464,1047,0.72,RABI,,,,,,
BIHAR,Arhasia,1999,RICE,13776,24727,1.79,SUMMER,,,,,,
BIHAR,Arhasia,1999,SUNFLOWER,1859,1964,1.06,KHARIF,,,,,,
BIHAR,Arhasia,2000,HORSEGRAM,2872,2838,0.99,KHARIF,,,,,,
BIHAR,Arhasia,2000,JUTE,31452,302289,9.61,KHARIF,,,,,,
BIHAR,Arhasia,2000,RICE,14317,22609,1.58,SUMMER,,,,,,
BIHAR,Arhasia,2000,MAIZE,6964,9450,1.36,KHARIF,,,,,,
BIHAR,Arhasia,2000,MAIZE,4239,6986,1.65,RABI,,,,,,
BIHAR,Arhasia,2000,MAIZE,7239,18465,2.55,SUMMER,,,,,,
BIHAR,Arhasia,2000,MESTA,4437,56301,12.69,KHARIF,,,,,,
BIHAR,Arhasia,2000,MOONG,1532,917,0.6,KHARIF,,,,,,
BIHAR,Arhasia,2000,ONION,342,2712,7.93,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,OTHER RABI PULSES,,72,,RABI,,,,,,
BIHAR,Arhasia,2000,PEAS & BEANS (PULSES),798,883,1.11,RABI,,,,,,
BIHAR,Arhasia,2000,POTATO,5569,44194,7.94,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,RAGI,839,2179,2.6,KHARIF,,,,,,
BIHAR,Arhasia,2000,RAPESEED &MUSTARD,2912,1054,0.36,RABI,,,,,,
BIHAR,Arhasia,2000,MAIZE,18442,34901,1.89,TOTAL,,,,,,
BIHAR,Arhasia,2000,RICE,88865,84685,0.95,AUTUMN,,,,,,
BIHAR,Arhasia,2000,RICE,127257,138801,1.09,TOTAL,,,,,,
BIHAR,Arhasia,2000,RICE,24075,31507,1.31,KHARIF,,,,,,
BIHAR,Arhasia,2000,SESAMUM,30,15,0.5,KHARIF,,,,,,
BIHAR,Arhasia,2000,SMALL MILLETS,224,118,0.53,KHARIF,,,,,,
BIHAR,Arhasia,2000,SUNFLOWER,1912,3320,1.74,KHARIF,,,,,,
BIHAR,Arhasia,2000,SWEET POTATO,182,2068,11.36,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,TURMERIC,162,157,0.97,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,URAD,1069,528,0.49,KHARIF,,,,,,
BIHAR,Arhasia,2000,WHEAT,44915,93956,2.09,RABI,,,,,,
BIHAR,Arhasia,2000,KESARI,5336,2439,0.46,RABI,,,,,,
BIHAR,Arhasia,2000,GRAM,5961,5365,0.9,RABI,,,,,,
BIHAR,Arhasia,2000,MASOOR,2551,2247,0.88,RABI,,,,,,
BIHAR,Arhasia,2000,SUGARCANE,671,26118,38.92,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,LINSEED,1949,1263,0.65,RABI,,,,,,
BIHAR,Arhasia,2000,ARHAR (TUR),2829,2826,1,KHARIF,,,,,,
BIHAR,Arhasia,2000,BAJRA,,19,,KHARIF,,,,,,
BIHAR,Arhasia,2000,BANANA,615,2491,4.05,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,BARLEY,173,203,1.17,RABI,,,,,,
BIHAR,Arhasia,2000,CORIANDER,123,58,0.47,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,DRY CHILLIES,173,111,0.64,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2000,DRY GINGER,57,78,1.37,KHARIF,,,,,,
BIHAR,Arhasia,2000,GARLIC,201,248,1.23,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2001,ARHAR (TUR),483,677,1.4,KHARIF,,,,,,
BIHAR,Arhasia,2001,BANANA,504,14329,28.43,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2001,BARLEY,20,25,1.25,RABI,,,,,,
BIHAR,Arhasia,2001,CORIANDER,106,59,0.56,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2001,DRY CHILLIES,177,168,0.95,WHOLE YEAR,,,,,,
BIHAR,Arhasia,2001,DRY GINGER,18,25,1.39,KHARIF,,,,,,
BIHAR,Arhasia,2001,GRAM,442,270,0.61,RABI,,,,,,
BIHAR,Arhasia,2001,HORSEGRAM,1979,2005,1.01,KHARIF,,,,,,
BIHAR,Arhasia,2001,JOWAR,2696,1998,0.74,KHARIF,,,,,,
BIHAR,Arhasia,2001,JUTE,34089,224987,6.6,KHARIF,,,,,,
BIHAR,Arhasia,2001,KESARI,4017,1904,0.47,RABI,,,,,,
BIHAR,Arhasia,2001,LINSEED,1552,858,0.55,RABI,,,,,,
BIHAR,Arhasia,2001,MAIZE,3336,7476,2.24,RABI,,,,,,
BIHAR,Arhasia,2001,MAIZE,5954,16500,2.77,SUMMER,,,,,,
BIHAR,Arhasia,2001,MAIZE,18441,39640,2.15,TOTAL,,,,,,
BIHAR,Arhasia,2001,MAIZE,9151,15664,1.71,AUTUMN,,,,,,
BIHAR,Arhasia,2001,MASOOR,2957,1434,0.48,RABI,,,,,,
