,disease,area_affected,crop,stage,yield
78,13,7.506758881,2,2,0.1470344603
79,12,98.87481881,2,1,0.211561343
80,13,83.22826429,2,1,0.1131838603
81,12,86.98697524,2,0,0.2151326637
82,13,71.94705648,2,1,0.1114683711
83,12,85.35330575,2,2,0.2095333326
84,12,69.62567701,2,1,0.2044667754
85,12,26.02513564,2,2,0.2098594974
86,11,16.48228848,2,2,0.1473757629
87,11,80.78679445,2,1,0.1298790203
88,11,37.54624186,2,0,0.1514094505
89,12,64.31106161,2,0,0.2121496417
90,11,71.26560625,2,0,0.1395260752
91,13,6.978158149,2,0,0.2315027988
92,13,76.13911082,2,2,0.1113156967
93,12,40.11422762,2,2,0.2047687598
94,13,50.02910201,2,1,0.1141518188
95,12,59.37643171,2,2,0.2037587343
96,12,97.27030304,2,1,0.2090528854
97,11,2.927035432,2,1,0.2693718189
98,13,3.194953883,2,2,0.2004634113
99,13,33.16506952,2,2,0.1171065016
100,12,24.69847735,2,2,0.2137174376
101,11,68.00847991,2,0,0.1390087432
102,11,47.47279778,2,1,0.1338717659
103,13,47.93533146,2,0,0.1263762445
104,12,43.25298652,2,0,0.2257551138
105,12,19.97561073,2,0,0.2451245348
106,11,13.59245254,2,1,0.1618467026
107,13,87.02170899,2,2,0.1088055974
108,13,41.5118831,2,0,0.1292279868
109,13,49.44066152,2,0,0.1249609714
110,12,65.89817334,2,1,0.2124609364
111,11,7.971462632,2,2,0.1638029844
112,12,52.5691846,2,0,0.2265011481
113,12,46.18630221,2,0,0.2292425045
114,11,21.35469093,2,2,0.1390829585
115,12,83.82672623,2,2,0.2060751546
116,11,73.79165773,2,1,0.1320367004
117,12,17.90069262,2,2,0.2183572476
118,12,51.46961762,2,2,0.2049802146
119,11,88.7170789,2,2,0.1294448216
120,13,6.376375237,2,1,0.1763355972
121,12,27.91341308,2,1,0.2126523956
122,11,29.11454624,2,2,0.1362863061
123,11,20.65560958,2,0,0.1728907703
124,11,21.0026119,2,2,0.1415416106
125,13,29.9637556,2,2,0.1169892739
126,13,30.69784183,2,0,0.1371251343
127,11,53.28360351,2,1,0.1319039767
128,11,10.52691282,2,2,0.1580375931
129,13,20.89927339,2,0,0.1517764297
130,11,24.81395949,2,2,0.1369214622
131,12,78.16900872,2,0,0.2136343583
132,11,4.538352374,2,0,0.3042576889
133,11,75.61800146,2,2,0.1269348992
134,12,27.98710475,2,2,0.2144574921
135,13,70.5533395,2,0,0.1192558876
136,11,55.29334457,2,2,0.1315317678
137,12,88.80068834,2,0,0.2105037601
138,12,9.656111801,2,0,0.2969854156
139,12,28.37758394,2,1,0.2158349571
140,13,90.21924761,2,1,0.1110226021
141,11,6.187945502,2,0,0.2638188738
142,12,89.52580881,2,2,0.2025168191
143,12,64.24499003,2,2,0.2106180336
144,12,84.75785492,2,1,0.2050645616
145,13,70.70012839,2,2,0.108211641
146,12,1.246766229,2,2,0.4179788604
147,12,36.49950745,2,0,0.2314815969
148,12,40.06981506,2,1,0.2091444998
149,12,60.5191769,2,2,0.2065592807
150,12,26.3410503,2,0,0.229661434
151,13,0.5804827846,2,0,0.7378644156
152,11,14.17694452,2,2,0.147415273
153,13,21.43984397,2,2,0.120972553
154,12,77.49323955,2,1,0.2041633339
155,11,47.50577988,2,2,0.1325171704
156,12,44.40163616,2,2,0.2125710641
157,13,53.66720644,2,0,0.12605999
158,11,31.0776097,2,1,0.1403274714
159,13,80.61242099,2,1,0.1105315885
160,11,81.95102573,2,0,0.1371634624
161,13,75.4111861,2,0,0.1177613906
162,13,88.14893742,2,1,0.1108014631
163,11,83.19484067,2,0,0.1357834622
164,13,95.03028164,2,1,0.1111743569
165,12,11.09686838,2,0,0.2875350127
166,11,99.23430366,2,1,0.1297326521
167,13,73.05582875,2,1,0.1127639384
168,11,73.54524761,2,0,0.1409094835
169,13,74.6253376,2,2,0.1076486503
170,13,23.38961899,2,1,0.1283755815
171,13,32.61294743,2,0,0.1354002048
172,13,27.90690453,2,0,0.1388577838
173,11,99.35008585,2,0,0.132366742
174,13,85.05145731,2,2,0.1103304337
175,12,95.53304688,2,1,0.1999175868
176,13,31.23664615,2,2,0.1148744595
177,11,11.33752296,2,2,0.1546683519
178,12,27.91695375,2,0,0.2399879482
179,12,25.75273763,2,0,0.2371537452
180,12,28.10058008,2,0,0.2311209347
181,11,90.27536519,2,0,0.1368747168
182,11,22.37348827,2,1,0.1461829454
183,12,83.65754675,2,0,0.2203071322
184,12,56.45540789,2,0,0.2159631208
185,13,6.25289406,2,0,0.2432428848
186,11,76.50593849,2,0,0.1384289259
187,13,55.16913466,2,2,0.1127083529
188,11,74.30158161,2,1,0.1300451986
189,13,98.81995933,2,1,0.1106797147
190,12,45.7418914,2,0,0.2220301289
191,13,32.90162882,2,2,0.1142878993
192,12,64.1303736,2,2,0.2120798741
193,13,95.58060309,2,1,0.1113513946
194,13,42.99153001,2,2,0.1140210863
195,13,85.910364,2,2,0.1090718751
196,13,77.88324845,2,0,0.1174036851
197,11,74.95086516,2,2,0.131452725
198,12,29.10384041,2,0,0.2344057927
199,13,40.09040519,2,0,0.1295434399
200,12,68.12475308,2,2,0.1973677086
201,13,29.3519506,2,1,0.1208268399
202,12,76.20008635,2,1,0.2046174169
203,12,23.37044982,2,2,0.21549029
204,13,2.036198686,2,2,0.2462969227
205,13,42.49549537,2,1,0.1174654705
207,11,9.445206982,2,1,0.1750287114
208,12,43.39178515,2,0,0.2264537341
209,13,36.06853688,2,1,0.11806222
210,13,38.88068895,2,0,0.1292847327
211,12,27.30333989,2,2,0.2116068093
212,12,28.31968589,2,1,0.2279597912
213,12,9.190757384,2,0,0.2970418938
214,11,14.06873461,2,2,0.1484638106
215,13,20.63398159,2,1,0.1282716319
216,13,29.66465338,2,0,0.1362716372
217,13,69.83474246,2,1,0.1132183248
218,13,25.35794053,2,2,0.11986719
219,13,23.80965991,2,0,0.1459264285
220,12,96.75578733,2,1,0.199665856
221,13,33.37933583,2,1,0.119799322
222,11,46.71521967,2,1,0.1365942802
223,11,36.76978961,2,1,0.1394891532
224,12,53.92782952,2,0,0.220864261
225,13,70.71128435,2,1,0.1126514442
226,12,62.2603473,2,0,0.2116628632
227,11,31.05814982,2,1,0.1407188024
228,13,28.86998009,2,1,0.1221179004
229,12,10.95902187,2,2,0.2263236562
230,11,78.86140042,2,2,0.1270071695
231,13,1.527337988,2,0,0.5005542171
232,11,77.64769978,2,1,0.1310683713
233,13,73.98185943,2,1,0.1118999045
234,13,89.63283572,2,0,0.1162454045
235,12,80.56083434,2,2,0.2091938713
236,11,92.73106472,2,2,0.1281007005
237,13,25.79387636,2,2,0.1192904242
238,12,41.46594529,2,2,0.2107320947
239,13,91.47475593,2,0,0.1159309605
240,11,28.42838279,2,0,0.1594600685
241,13,40.97946138,2,2,0.1122274197
242,12,83.54285287,2,0,0.2110450936
243,11,33.80578306,2,2,0.1338955369
244,12,70.42512988,2,2,0.1964821489
245,12,67.95348126,2,1,0.1994243154
246,13,40.08432033,2,0,0.1307279439
247,11,69.02863327,2,2,0.1287860534
248,12,2.112026425,2,0,0.5223277763
249,13,94.97590298,2,0,0.115289004
250,11,0.1198483641,2,1,0.932047094
251,13,19.06414188,2,2,0.1221953167
252,11,91.90869998,2,1,0.1293277672
253,13,33.14417841,2,0,0.1362487456
254,13,22.85220981,2,1,0.1266304336
255,12,46.73057685,2,1,0.2125281025
256,12,59.13747663,2,1,0.2120863095
257,13,81.29422842,2,1,0.1104943907
258,13,49.51651526,2,1,0.1159854395
259,13,73.93586324,2,1,0.1096558623
260,13,3.331880082,2,1,0.2350303612
261,11,2.295143379,2,2,0.2509319917
262,13,19.71432361,2,1,0.1296318087
263,13,35.54021508,2,1,0.1183324726
264,11,11.80813679,2,2,0.1518580407
265,11,20.23073282,2,2,0.1395777992
266,13,75.40904181,2,1,0.1131413353
267,13,2.185888036,2,1,0.2929169162
268,12,19.4056266,2,0,0.2500856419
269,12,1.242520422,2,2,0.4131765237
270,13,17.72880552,2,2,0.1204829153
271,12,14.45232047,2,2,0.2152290489
272,13,46.63663715,2,0,0.1266006725
273,12,79.14362664,2,2,0.1999039049
274,12,72.71171556,2,0,0.2125277519
275,13,74.68202264,2,0,0.1184745876
276,13,83.31478198,2,2,0.1095483374
277,12,12.92537806,2,2,0.2268623073
278,12,70.30611417,2,0,0.2163702958
279,11,0.4265115914,2,1,0.6659917759
280,11,24.60694922,2,0,0.1639008637
281,13,96.9452227,2,1,0.1093146778
282,11,48.46739266,2,1,0.1325278642
283,11,86.93366613,2,0,0.1337566737
284,12,12.71766902,2,0,0.2722516485
285,11,6.002165547,2,2,0.1769609365
286,12,38.19390703,2,2,0.2044306754
287,12,10.66849686,2,0,0.2862269635
288,13,29.39247022,2,1,0.1198161362
289,11,20.76238295,2,0,0.1697716706
290,11,64.37441816,2,2,0.1301256876
291,12,89.1067521,2,1,0.2012782061
292,12,69.49444155,2,1,0.213484807
293,13,14.30570497,2,1,0.14010915
294,12,47.64823542,2,1,0.2182095476
295,11,5.739704175,2,2,0.1824161943
296,13,5.021148388,2,1,0.1962581809
297,11,76.55264369,2,2,0.131357605
298,13,71.86548885,2,2,0.1119706483
299,13,25.97729173,2,0,0.1423806972
300,13,48.15005851,2,1,0.1158965644
301,13,64.35860125,2,0,0.1203797848
302,11,33.70400451,2,1,0.1422946713
303,12,5.203771917,2,1,0.2927098613
304,13,3.580816463,2,1,0.2275862921
305,12,74.09937332,2,0,0.2105618505
306,13,4.99213681,2,1,0.1966743606
307,12,47.49123491,2,1,0.2067385983
308,13,79.13967101,2,0,0.1165812288
309,12,15.68112225,2,1,0.22954893
310,12,88.30553531,2,1,0.2045156008
311,11,25.88583896,2,2,0.1401556855
312,12,80.5900626,2,2,0.2043169658
313,12,66.4390503,2,1,0.2070078976
314,12,88.16572293,2,2,0.2013873973
315,12,92.25303067,2,2,0.2047528893
316,13,91.45101413,2,1,0.1119889998
317,11,3.066395818,2,1,0.2669357998
318,13,38.673844,2,1,0.1193198624
319,12,89.1804886,2,0,0.2110430364
320,12,74.528292,2,0,0.21357519
321,13,89.56728874,2,0,0.1181532959
322,13,24.33197206,2,2,0.1175316086
323,12,41.37037124,2,1,0.2107992799
324,12,25.34116338,2,2,0.211260359
325,12,31.55765571,2,1,0.2238302438
326,13,21.60943377,2,2,0.1205066243
327,13,13.21522644,2,2,0.1298352549
328,11,35.1234603,2,1,0.13949809
329,13,20.75323872,2,1,0.1277687917
330,13,20.08092379,2,0,0.1539507024
331,12,52.94140955,2,2,0.2028159518
332,11,47.43421224,2,2,0.1350364757
333,12,84.95462563,2,0,0.2150501464
334,13,30.91547204,2,1,0.1214094877
335,12,90.90100896,2,0,0.211089978
336,11,88.11329604,2,2,0.1288883938
337,13,74.5144089,2,1,0.1125240513
338,11,80.71557545,2,2,0.1315924381
339,13,69.32320436,2,1,0.1122223527
340,11,90.08367815,2,2,0.1283857778
341,13,46.14613024,2,2,0.1101405528
342,13,84.43215061,2,2,0.1084792605
343,11,16.59985784,2,1,0.154294764
344,11,62.06837495,2,1,0.1321175346
345,12,3.883288387,2,0,0.4060239115
346,12,89.53108036,2,2,0.1999865293
347,13,54.36592522,2,2,0.111060109
348,12,51.67644736,2,0,0.2167844491
349,13,38.78394585,2,0,0.1293853375
350,11,44.52288865,2,1,0.1383530812
351,13,17.42076474,2,2,0.1237092386
352,13,78.86060324,2,1,0.112445676
353,12,94.15992953,2,0,0.2139307629
354,13,11.97886864,2,1,0.1468027149
355,12,71.53204042,2,2,0.2047341522
356,13,92.56822583,2,0,0.1152998921
357,13,7.267307858,2,1,0.1692131841
358,12,19.45488053,2,2,0.2153936497
359,13,62.76199567,2,0,0.1194700024
360,11,56.16004338,2,2,0.1288684454
361,13,48.58659158,2,2,0.1120783651
362,12,4.18761749,2,1,0.3032051634
363,11,91.11694368,2,0,0.135594567
364,11,19.47794717,2,0,0.1736681411
365,13,15.75825211,2,0,0.1654737107
366,11,55.78549475,2,1,0.1334826526
367,12,77.97459955,2,2,0.2011492286
368,13,29.26330892,2,0,0.1392382058
369,12,62.60618179,2,0,0.2166107022
370,13,58.99275713,2,0,0.1212256264
371,12,41.74565939,2,0,0.2248701015
372,13,15.9996237,2,0,0.1638167873
373,12,20.78226963,2,2,0.2123279993
374,12,12.71950155,2,2,0.2263870796
375,13,41.64507271,2,2,0.1139833521
376,12,49.35700589,2,1,0.2187721148
377,13,96.62349674,2,0,0.1150786382
378,12,13.78818766,2,0,0.2650111291
379,13,47.44322932,2,0,0.1280293328
380,11,42.53354214,2,2,0.1327001309
381,13,41.49119238,2,1,0.1167099833
382,12,52.71347038,2,2,0.2046761927
383,13,87.94655377,2,2,0.1088552421
384,11,43.64705425,2,1,0.1381369727
385,13,14.30612904,2,2,0.1277621456
386,11,27.29434523,2,2,0.1363409888
387,12,6.243774509,2,1,0.2819505427
388,13,44.60166879,2,0,0.1268636211
389,13,27.38529531,2,1,0.1240004052
390,11,35.39535236,2,0,0.1504863107
391,13,12.85351473,2,0,0.1785330796
392,12,62.80963936,2,1,0.2062766874
393,13,7.505037825,2,0,0.2225028682
394,12,83.03256143,2,0,0.2039504888
395,12,95.36936368,2,1,0.2062936359
396,12,28.99632967,2,1,0.2144446677
397,13,94.79255589,2,0,0.1169739962
398,12,25.74219723,2,2,0.2128047888
399,12,60.71280671,2,0,0.2212253438
400,13,40.87813332,2,1,0.1167736077
401,11,33.75586561,2,0,0.1533145148
402,12,79.22414972,2,1,0.2093923048
403,12,33.89676406,2,2,0.2061762463
404,11,63.91663153,2,2,0.1332165687
405,13,45.44127161,2,1,0.1148977208
406,13,22.79577665,2,2,0.118601722
407,12,24.18627861,2,0,0.2401017873
408,12,65.41626216,2,1,0.2058758591
409,13,14.59633254,2,2,0.1295706956
410,12,90.56623136,2,0,0.2091405225
411,12,9.460976838,2,2,0.2358807128
412,11,71.45510811,2,2,0.1301042999
413,12,36.74127059,2,2,0.2159543546
414,13,80.46391991,2,1,0.1123970775
415,13,47.49902701,2,2,0.1115079183
416,11,27.90684762,2,2,0.1357412236
417,11,97.99588518,2,2,0.1283110344
418,11,53.14880217,2,1,0.1355393814
419,13,8.555619618,2,1,0.1603294539
420,13,66.21422786,2,0,0.1217819072
421,11,45.79019189,2,1,0.1348476971
422,13,76.73064056,2,0,0.118587756
423,11,14.63654442,2,0,0.1888156219
424,11,26.55446626,2,2,0.1376795728
425,13,58.46444857,2,1,0.1141306223
426,12,65.91129073,2,2,0.2064943726
427,12,47.22541979,2,0,0.2181465184
428,13,47.93912962,2,0,0.1260334728
429,11,6.570701502,2,1,0.1964790911
430,13,64.74419881,2,1,0.1140082555
431,11,22.78230103,2,2,0.1395069073
432,13,43.36676954,2,0,0.1272010074
433,12,54.11602966,2,2,0.2095799747
434,13,10.41391799,2,2,0.1359619533
435,11,57.0080336,2,0,0.1416566275
436,12,70.85664447,2,1,0.2121722626
437,11,14.65954313,2,0,0.1907101214
438,12,61.27049716,2,2,0.2030416547
439,13,89.25126193,2,0,0.1179085079
440,13,37.37829508,2,0,0.1300597556
441,13,17.83837709,2,2,0.1241745641
442,12,9.677382664,2,2,0.2330349733
443,11,52.19425735,2,1,0.1349948717
444,13,22.82861282,2,2,0.1197609663
445,11,13.54128369,2,0,0.1955665158
446,12,22.34195117,2,1,0.2274796136
447,13,88.01597716,2,1,0.1122192547
448,11,15.33648414,2,1,0.1545197637
449,11,50.87386161,2,2,0.1323405796
450,12,67.8746197,2,2,0.2045645538
451,11,90.93697132,2,1,0.133180342
452,12,26.93034777,2,2,0.2101560819
453,13,67.24690611,2,2,0.1099562635
454,13,5.129499768,2,1,0.1934392761
455,13,27.41130294,2,1,0.1232605117
456,11,59.53588366,2,2,0.1288326398
457,13,56.51641388,2,2,0.110418763
458,11,15.78545948,2,2,0.1452996108
459,11,45.26407513,2,1,0.1357183354
460,12,65.06816337,2,0,0.2124305597
461,12,31.65704001,2,1,0.2156789919
462,13,62.61919662,2,1,0.1122810245
463,11,61.14688589,2,2,0.1279798477
464,13,15.5250757,2,2,0.1253265021
465,11,64.88501717,2,0,0.1397494863
466,12,4.650766619,2,0,0.3815281409
467,13,98.62856332,2,1,0.1111827415
468,12,47.21567265,2,1,0.2128377447
469,11,45.98264229,2,0,0.1445493009
470,12,91.86364307,2,2,0.1990727547
471,13,50.94225128,2,0,0.1228071195
472,13,24.72572761,2,2,0.1157634304
473,13,45.50335694,2,2,0.1126890992
474,12,7.686213909,2,0,0.3115106314
475,12,87.01910896,2,0,0.2103084042
476,11,84.21594369,2,0,0.1332658132
477,12,30.79679043,2,2,0.2102907155
478,11,37.57233876,2,2,0.1323118007
479,12,0.7552663135,2,0,0.7696824249
480,11,52.29820985,2,1,0.1335050124
481,13,25.89057645,2,2,0.1198369577
482,13,50.9450351,2,2,0.110417902
483,11,17.69259988,2,0,0.1805420634
484,13,35.64313199,2,0,0.1317043877
485,13,73.14896864,2,0,0.119097593
486,13,56.35019926,2,2,0.1124170016
487,12,83.8460703,2,0,0.2098463119
488,12,51.91914688,2,1,0.208615091
489,12,95.58064859,2,2,0.2097107253
490,11,58.20923379,2,1,0.1345476104
491,13,45.69330054,2,1,0.1165503683
492,12,67.78492204,2,0,0.2197281255
493,12,69.60868215,2,2,0.2050473824
494,12,76.91259608,2,1,0.2034457411
495,13,93.50174558,2,0,0.1138608673
496,13,55.19029329,2,1,0.1135800868
497,12,33.89656877,2,0,0.2290876158
498,11,34.07264767,2,1,0.1424957406
499,11,31.7088586,2,2,0.1319978863
500,12,21.81485686,2,1,0.2213406122
501,11,32.51124081,2,2,0.1333337525
502,11,92.35163013,2,1,0.130296259
503,13,28.35561005,2,1,0.1213535487
504,11,25.39889011,2,1,0.1446526953
505,12,37.05666047,2,0,0.23032901
506,12,38.45003072,2,0,0.2212577795
507,13,50.7944455,2,0,0.1242575316
508,13,2.469384324,2,0,0.3930368059
509,12,71.49351025,2,2,0.2019730068
510,12,74.34705494,2,1,0.2063414474
511,12,6.495082814,2,2,0.2515247824
512,11,27.39630631,2,0,0.1606406962
513,12,54.57852306,2,0,0.2193767089
514,13,88.95903166,2,0,0.1162238705
515,11,71.3561523,2,1,0.131828448
516,12,11.59651566,2,1,0.2418787204
517,11,48.2794653,2,1,0.1337635211
518,13,20.0392577,2,0,0.1524472897
519,11,21.20967008,2,1,0.1454556389
520,12,99.48874716,2,1,0.200353553
521,13,5.945657367,2,1,0.1826071051
522,12,62.11782392,2,2,0.2047217606
523,13,35.35711016,2,1,0.1203155331
524,13,5.963408459,2,1,0.1826063893
525,11,20.96615341,2,0,0.1692980446
526,12,89.00246467,2,1,0.2025585924
527,13,68.14133915,2,1,0.1112860973
528,12,77.20762175,2,0,0.2113267397
529,12,97.58630991,2,2,0.2030985857
530,12,0.6604462596,2,1,0.6369017543
531,12,74.44863021,2,2,0.2036298857
532,12,39.77038658,2,2,0.2135087171
533,12,22.22407827,2,1,0.2204610103
534,12,87.34013563,2,2,0.2018537551
535,12,29.02622625,2,0,0.2382608888
536,11,9.318931645,2,1,0.1752684517
537,12,93.96672404,2,1,0.2027862912
538,13,33.88253694,2,1,0.1167172788
539,11,6.265830801,2,1,0.1987575983
540,11,84.58157682,2,0,0.137526741
541,11,79.52048247,2,2,0.1313711844
542,13,43.89961912,2,2,0.112931186
543,13,38.867538,2,1,0.1186099755
544,11,54.33970239,2,0,0.1428723493
545,13,95.46192173,2,0,0.1165911578
546,12,70.8172622,2,1,0.2131592736
547,12,63.94221556,2,0,0.2143140791
548,11,16.04056488,2,0,0.1828838941
549,13,27.20279381,2,1,0.1221841663
550,12,37.19117081,2,0,0.2284397117
551,11,13.70787779,2,1,0.1573933115
552,13,33.38443379,2,2,0.1144989368
553,12,77.76790275,2,1,0.2118950581
554,11,97.96986732,2,0,0.1370677551
555,12,51.23964952,2,2,0.2122113248
556,11,19.11330871,2,1,0.1494437931
557,11,69.98416737,2,1,0.1303069767
558,13,91.95771857,2,0,0.1144184302
559,12,29.95493716,2,1,0.2118774155
560,12,40.57687774,2,0,0.2253624909
561,11,66.84644637,2,1,0.1345557947
562,11,59.23336327,2,1,0.1357149395
563,11,71.94351548,2,2,0.1284805778
564,13,87.88520092,2,1,0.1116508084
565,12,64.40753171,2,1,0.2041188776
566,11,31.12319375,2,1,0.1410750535
567,11,96.37234022,2,1,0.1300373476
568,13,55.8682581,2,0,0.1242911687
569,11,52.78456647,2,0,0.1420540623
570,11,25.85199208,2,2,0.1394749338
571,13,29.35056576,2,2,0.1169360039
572,13,46.2283601,2,2,0.1147810577
573,13,59.91014228,2,2,0.1106518246
574,12,50.30055687,2,0,0.2206503478
575,13,29.63840194,2,2,0.1169261529
576,13,95.73169712,2,0,0.1171661034
577,13,84.23269094,2,1,0.1114515147
578,11,7.384719378,2,1,0.1900844342
579,12,49.06530515,2,0,0.2198422772
580,13,96.30835484,2,0,0.1147546382
581,11,12.68954398,2,0,0.1973059761
582,11,20.12580378,2,0,0.1721527777
583,13,7.703035129,2,1,0.1676509313
584,12,6.571886047,2,0,0.3325741109
585,13,87.05201976,2,1,0.1113517019
586,11,50.44768223,2,0,0.1467150782
587,11,13.85128583,2,0,0.1922459901
588,12,69.43340057,2,1,0.2093136221
589,13,41.87666845,2,1,0.1151506091
590,13,89.97621787,2,2,0.1079837172
591,11,53.49074427,2,2,0.1308196445
592,12,40.8477164,2,0,0.2301261871
593,11,90.73480384,2,2,0.1276889957
594,12,46.55166445,2,2,0.2097549368
595,12,28.97218576,2,0,0.2309699166
596,12,36.15742403,2,0,0.2249370522
597,13,28.26141515,2,0,0.1397785579
598,12,6.595042403,2,1,0.2735240589
599,12,1.674748479,2,1,0.4306671067
600,12,22.30323139,2,1,0.222006222
601,13,40.10185797,2,0,0.1299731914
602,11,33.34686115,2,1,0.1393189886
603,11,38.49665137,2,2,0.133809936
604,12,16.32330435,2,0,0.2561491813
605,12,22.65184212,2,2,0.2063033712
606,11,51.29513661,2,2,0.1302797563
607,11,12.96462984,2,0,0.1954298614
608,13,67.86561328,2,2,0.1088932029
609,12,13.8953158,2,1,0.2372733573
610,11,28.1151408,2,2,0.1366750866
611,11,93.27606787,2,1,0.1295361454
612,11,64.71817776,2,2,0.1296797577
613,13,13.77969859,2,1,0.1402466171
614,12,33.16979593,2,2,0.2130868279
615,13,19.50117072,2,0,0.1547049566
616,12,21.62734577,2,2,0.2210980386
617,11,49.61244095,2,2,0.1324198094
618,11,6.977132238,2,2,0.1702246452
619,12,18.86424426,2,1,0.2249265312
620,12,66.1913408,2,0,0.2188934923
621,11,50.25656688,2,1,0.1334030997
622,12,60.38000942,2,2,0.2077435725
623,12,99.63730587,2,1,0.2087996095
624,12,91.15681846,2,0,0.2060336538
625,13,10.43643719,2,1,0.1499904937
626,13,82.66096987,2,1,0.1102000373
627,13,5.485092395,2,0,0.2582674841
628,11,46.05713346,2,0,0.1476676634
629,12,33.59530575,2,0,0.2209777777
630,12,98.77824708,2,0,0.2110876749
631,13,45.47197072,2,0,0.1269478023
632,11,33.8174829,2,1,0.1389707647
633,11,38.27826829,2,0,0.1493025105
634,12,15.98318466,2,2,0.2156488217
635,11,11.89739454,2,1,0.164796363
636,12,63.82503962,2,1,0.207001141
637,11,10.00586316,2,0,0.2165415474
638,11,49.45327074,2,1,0.1358603889
639,12,3.409254582,2,2,0.2890774274
640,11,38.64865267,2,1,0.1407770782
641,11,4.82591233,2,2,0.1872906545
642,12,82.22807193,2,2,0.2045017825
643,12,16.97151418,2,0,0.249307216
644,11,62.70991157,2,0,0.1384504641
645,12,1.976229733,2,2,0.3488159786
646,11,83.28556433,2,2,0.1298966623
647,13,6.472139955,2,2,0.1548388047
648,11,79.50064,2,2,0.1321283156
649,11,94.47513832,2,2,0.1263164565
650,11,51.27417033,2,2,0.133521264
651,11,88.35749291,2,2,0.1295921604
652,13,11.05888507,2,0,0.1868771858
653,11,39.69964018,2,2,0.1326469658
654,11,74.79680737,2,2,0.1298207021
655,13,6.017982728,2,2,0.1571342315
656,13,72.84920341,2,2,0.108977461
657,13,67.22153914,2,1,0.1130589969
658,13,1.825710677,2,0,0.4629969474
659,13,74.81812172,2,1,0.1138158273
660,13,32.41269065,2,0,0.1374645969
661,11,27.76840194,2,2,0.1369733914
662,12,61.7312321,2,0,0.2234895498
663,12,62.32669958,2,1,0.2074153384
664,13,72.98414245,2,2,0.1094320418
665,11,52.76140785,2,1,0.1360703907
666,11,10.84926297,2,1,0.1700512853
667,13,34.98550977,2,1,0.1191235806
